QRG TX,QRG RX,Call,QTH,Locator,Alt.,Remarks,Status,lat,lon
145.7250,145.1250,HB9G,Poele Chaud,JN36BK,1628m,"NFM ""G""",1,46.4375000,6.1250000
145.7250,145.1250,HB9Z,Wildberg,JN47JK,618m,C4FM #17780 NFM T71.9,1,"47.4269269","8.8166167"
145.7250,145.1500,HB9T,Rothöchi,JN37TA,686m,NFM/C4FM (10/2020),1,"47.0396027","7.6156314"
145.7375,145.1375,HB9FS,Bad Ramsach,JN37WJ,750m,NFM 1750Hz,1,"47.4061826","7.8720113"
145.7375,145.1375,HB9SP,Zürich,JN47GJ,513m,NFM T77.0,1,47.3958333,8.5416667
145.7375,145.1375,HB9RAR,Morlon,JN36MO,785m,D-STAR* CCS#20603,1,46.6041667,7.0416667
145.7500,145.1500,HB9Y,Sex Carro,JN36MD,2091m,NFM 1750Hz,1,"46.1472508","7.0785927"
145.7500,145.1500,HB9BC,Läufelfingen,JN37WJ,846m,EL#208314 T82.5 D-STAR,1,"47.3958161","7.8546951"
145.7625,145.1625,HB9H,Monte Tamaro,JN46KC,1883m,NFM T103.5 & Carrier,1,"46.1038934","8.8660317"
145.7625,145.1625,HB9ZF,Bachtel,JN47KH,946m,NFM T71.9 <>Rigi,1,"47.2941899","8.885733"
145.7625,145.1625,HB9IAC,La Barillette,JN36BK,1514m,D-STAR DCS115A,1,"46.4304853","6.123073"
145.7625,145.1625,HB9GOMS,Reckingen VS,JN46CL,1321m,NFM T71.9,1,"46.4695629","8.2431589"
145.7625,145.1625,HB9Y,Zermatt,JN36VA,1615m,NFM carrier,1,46.0208333,7.7916667
145.7750,145.1750,HB9AG,Lägern,JN47EL,880m,NFM T77.0,1,"47.4816084","8.3820732"
145.7875,145.1875,HB9AW,Twerenegg,JN47AB,903m,D-STAR CCS#61303,1,"47.0658415","8.0120157"
145.7875,145.1875,HB9PE,Château-d'Oeux,JN36MK,1662m,DMR-B #228126 CC1,1,46.4375000,7.0416667
