QRG TX,QRG RX,Call,QTH,Locator,Alt.,Remarks,Status,lat,lon
439.2750,431.6750,HB9HD,Fronalpstock/SZ,JN46HX,1904m,FM T71.9 <>10m,1,"46.9682706","8.6373811"
439.2750,431.6750,HB9GE,Genève,JN36BF,449m,DMR-B #228117 CC1,2,"46.2256509","6.1439209"
439.2750,431.6750,HB9TF,Muottas Muragl,JN46WM,2424m,C4FM #37857 NFM T141.3,1,"46.5219617","9.9028587"
439.3000,431.7000,HB9T,Niederhorn,JN36VR,1960m,EL#496706 T94.8 C4#34119,1,"46.7117062","7.7770938"
439.3000,431.7000,HB9SP,Zürich,JN47GJ,513m,APCO-P25 NAC$293 FM T77.0,1,47.3958333,8.5416667
439.3250,431.7250,HB9BS,Gempenfluh,JN37TL,759m,FM T71.9 1750Hz I *70/71,1,47.4791667,7.6250000
439.3375,439.3375,HB9PE,Château-d'Oex,JN36MK,1662m,SIMPLEX NOT IARU CONFORM,2,46.4375000,7.0416667
439.3500,431.7500,HB9HAI,Weissfluhgipfel,JN46VT,2806m,EL#83400 NF T141.3,1,46.8125000,9.7916667
439.3500,431.7500,HB9ZG,Affoltern a.A.,JN47FG,554m,NFM T103.5 <>Hünenberg,1,"47.2782467","8.4521518"
439.3750,431.7750,HB9XC,Loveresse,JN37OG,1221m,FM T67.0,1,"47.2501674","7.2319324"
439.3750,431.7750,HB9GL,Zürich,JN47FI,823m,EL#41140 T71.9 <>Mollis,1,47.3541667,8.4583333
439.4000,431.8000,HB9ZF,Bachtel,JN47KH,946m,EL#37913 T71.9 <>HB9CF,1,"47.2941899","8.885733"
439.4000,431.8000,HB9GOMS,Reckingen VS,JN46CL,1321m,EL#507099 FM T71.9,1,"46.4695629","8.2431589"
439.4000,431.8000,HB9BR,Lutry,JN36IM,750m,FM T67.0,1,"46.5032766","6.6867879"
439.4125,431.8125,HB9BO,Niesen,JN36TP,2364m,DMR-B #228312 CC2,1,"46.6461936","7.6523674"
439.4250,431.8250,HB9GE,Genève,JN36BF,449m,EL#4167 FM T67.0,1,"46.2256509","6.1439209"
439.4250,431.8250,HB9GR,Valens,JN46RX,917m,MM DMR #228705 CC4 T141.3,1,"46.969373","9.4817696"
439.4375,431.8375,HB9PE,Moléson,JN36MN,1973m,DMR-B #228129 CC2,1,"46.5489446","7.0171352"
439.4375,431.8375,HB9TG,Wetzikon TG,JN47MM,607m,DMR-B #228814 CC1,1,"47.5383616","9.0014473"
439.4500,431.8500,HB9BG,Belp,JN36SV,510m,EL#276406 NFM T88.5,1,"46.89058675","7.50967570171648"
439.4500,431.8500,HB9RL,Locarno,JN46JE,1671m,D-STAR CCS#47572,2,"46.1695112","8.7954217"
439.4500,431.8500,HB9W,Winterthur,JN47IL,502m,D-STAR CCS#84002,1,"47.4991723","8.7291498"
439.4500,431.8500,HB9OK,Viano,JN56BG,1266m,DMR-B #228708 CC1,1,"46.2535313","10.1387863"
439.4500,431.8500,HB9Y,Vollèges VS,JN36OC,814m,DMR-B #228314 CC3,1,"46.0880053","7.1697258"
439.4625,431.8625,HB9ZG,Rigi Scheidegg,JN47GA,1654m,D-STAR CCS#63002 B,1,"47.0274441","8.5195668"
439.4750,431.8750,HB9HAI,Weissfluhgipfel,JN46VU,2806m,DMR-I #228702 CC7 SWISS,1,"46.83463","9.7947572"
439.4750,431.8750,HB9F,Schilthorn,JN36WN,2963m,DMR GWFN,1,"46.5573271","7.8352093"
439.4750,431.8750,HB9F,Brienzer Rothorn,JN46AS,2285m,DMR GWFN,1,"46.7871033","8.0469085"
439.4750,431.8750,HB9F,Bern (City),JN36RW,568m,DMR GWFN,1,"46.9472071","7.4398352"
439.4750,431.8750,HB9F,Ringgenberg,JN36WQ,590m,DMR GWFN,1,"46.7044135","7.8960911"
439.4750,431.8750,HB9F,Münchenbuchsee,JN37RA,583m,DMR GWFN,1,"47.0213315","7.4519196"
439.4750,431.8750,HB9F,Brienz,JN46AR,693m,DMR GWFN,1,"46.7425595","8.0630417"
439.4750,431.8750,HB9F,Seftigen,JN36SS,567m,DMR GWFN,1,"46.7887815","7.5396362"
439.4875,431.8875,HB9Y,Oberwald VS,JN46EM,1770m,DMR-B #228316 CC3,1,"46.5328571","8.3520502"
439.4875,431.9875,HB9DD,Monte Generoso,JN45MW,1603m,NFM T103.5 !special Shift,1,"45.9312707","9.0199058"
439.5000,431.9000,HB9F,Brienzer Rothorn,JN46AS,2285m,DMR-B #228301 CC1,1,"46.7871033","8.0469085"
439.5000,431.9000,HB9Y,Zermatt,JN36VA,1618m,DMR-B #228315 CC3,1,46.0208333,7.7916667
439.5125,431.9125,HB9VD,Le Chasseron,JN36GU,1570m,D-STAR CCS#26342,1,"46.8518295","6.5379796"
439.5125,431.9125,HB9DS,Grosswangen,JN47AD,544m,DMR-B/I #228693 CC1 SWISS,1,"47.1322635","8.0491183"
439.5250,431.9250,HB9BO,Brienzer Rothorn,JN46AS,2285m,D-STAR CCS#43452,1,"46.7871033","8.0469085"
439.5250,431.9250,HB9Y,Sion,JN36QF,485m,DMR-B #228127 CC3,2,"46.23021515","7.363705184783203"
439.5375,431.9375,HB9EAS,Pfeffingen,JN37TK,426m,DMR-B #228413 CC2 MM test,1,"47.4579858","7.589006"
439.5375,431.9375,HB9ZG,Rigi Scheidegg,JN47GA,1654m,DMR-B #228620 CC1,1,"47.0274441","8.5195668"
439.5375,431.9375,HB9VSD,Verbier,JN36OC,1513m,DMR-B #228111 CC2,1,"46.0967949","7.2285478"
439.5375,431.9375,HB9EAS,Binningen BL,JN37SM,362m,Multimode ->2018,0,"47.53656","7.570077"
439.5375,431.9375,HB9H,San Bernardino,JN46OK,1883m,D-STAR HB9H_B,1,46.4375000,9.2083333
439.5625,431.9625,HB9BO,Interlaken,JN36WQ,733m,DMR-I #228300 CC1,1,"46.6855231","7.8585139"
439.5625,431.9625,HB9OK,Piz Nair,JN46VM,3024m,DMR-B #228704 CC1,1,"46.5063091","9.7873706"
439.5625,431.9625,HB9DR,Hinterrhein,JN46PM,1714m,DMR-B #228706 CC2,2,46.5208333,9.2916667
439.5625,431.5625,HB9MM,Les Pléiades,JN36KL,1343m,DMR-B #228122 CC1,1,"46.4820859","6.9092392"
439.5625,431.5625,HB9MM,Les Pléiades,JN36KL,1343m,NFM T67.0,1,"46.4820859","6.9092392"
439.5625,431.9625,HB9TF,Zürich,JN47GJ,569m,C4FM #34083 NFM T91.5,1,47.3958333,8.5416667
439.5750,431.9750,HB9LU,Luzern,JN47DB,683m,D-STAR CCS#60002,1,"47.0505452","8.3054682"
439.5750,431.9750,HB9TG,Sulgen,JN47OM,456m,DMR-B #228816 CC1,1,"47.5388525","9.1836253"
439.5750,431.9750,HB9Y,Moosalp,JN36WG,2123m,DMR-B #228313 CC3,1,46.2708333,7.8750000
439.5875,431.9875,HB9IAC,La Barillette,JN36BK,1514m,C4FM StarNet DCS115A,1,"46.4304853","6.123073"
439.5875,431.9875,HB9SG,Inzenberg,JN47OJ,868m,C4FM* NFM T71.9,1,"47.3849263","9.1867388"
439.5875,431.9875,HB9DS,Ruswil,JN47B?,0m,DMR. project 2020,0,46.9375000,8.1250000
439.6625,432.0625,HB9PE,Château-d'Oeux,JN36MK,1662m,DMR !NOT IARU CONFORM!,1,46.4375000,7.0416667
1258.1500,1293.1500,HB9FX,Zofingen,JN37XH,644m,FM Carrier 3s,1,47.3125000,7.9583333
1258.3000,1293.3000,HB9UF,Uetliberg,JN47FI,870m,FM 1750Hz,1,"47.3496439","8.4911346"
1258.7500,1293.7500,HB9BA,Weissenstein,JN37SG,1280m,FM 1750Hz,1,"47.2531649","7.5080204"
1258.8000,1293.8000,HB9BO,Brienzer Rothorn,JN46AS,2285m,D-STAR CCS#43451,1,"46.7871033","8.0469085"
1258.9000,1293.9000,HB9F,Jungfraujoch,JN36XN,3574m,FM Carrier,1,"46.5471693","7.9781158"
1259.1750,1294.1750,HB9SH,Lohn,JN47IR,625m,FM Carrier,1,47.7291667,8.7083333
1260.3000,1293.3000,HB9UF,Uetliberg,JN47FI,870m,FM Carrier,1,"47.3496439","8.4911346"
1297.1000,1273.1000,HB9DD,Monte Generoso,JN45MW,1603m,FM,1,"45.9312707","9.0199058"
1297.5000,1269.5000,HB9EE,Eglisau,JN47GN,554m,project 2020,0,"47.5733207","8.5239827"
1298.2250,1270.2250,HB9CC,Hohe Buche,JN47RK,1141m,FM Carrier,1,47.4375000,9.4583333
1298.2750,1270.2750,HB9AM,Chestenberg,JN47CK,630m,"FM, qrv 2nd 2019",0,"47.4255013","8.1943996"
1298.3250,1270.3250,HB9FS,Basel,JN37TN,275m,FM,1,"47.5581077","7.5878261"
1298.5000,1270.5000,HB9FM,Basel,JN37SM,362m,FM,1,47.5208333,7.5416667
1298.7000,1270.7000,HB9NF,Warten,JN47LH,1205m,FM (qrv 07/2019),0,47.3125000,8.9583333
